iteration,n_features,overall_auprc,overall_accuracy,overall_precision,overall_recall,overall_f1_score,overall_roc_auc,mean_window_auprc,std_window_auprc,delta_from_baseline,selected
0,33,0.2250885070646735,0.9797653497222961,0.22165949771055918,0.3011026293469042,0.25534465534465534,0.9212626186288276,0.250496359968106,0.08760225768371463,0.0,False
1,32,0.22521046959071486,0.9799043373925695,0.22391608391608392,0.3017623221185562,0.25707518766809845,0.9213930397632142,0.25091311406481304,0.0878014498193099,0.0001219625260413526,False
2,31,0.23003167602388022,0.9806817996731618,0.23395583222172817,0.2975214400150787,0.2619373573947314,0.922287859175558,0.2503040259979565,0.08756201057004757,0.004943168959206712,True
3,30,0.2281813961885758,0.9807306625259923,0.2339076601775192,0.2955423617001225,0.26113748022316596,0.9222025613456906,0.2506663056563387,0.08535663702136774,0.0030928891239022926,False
4,29,0.22693926268629133,0.9809065687961822,0.23593122775126865,0.29356328338516635,0.26161081716637274,0.9225949772865261,0.25011283108341836,0.08646088885176079,0.0018507556216178223,False
5,28,0.2203713347480852,0.9794395973700927,0.22025809920688263,0.3088304589576854,0.25713052689395427,0.920992395026371,0.2458425142206282,0.08569873000661023,-0.004717172316588303,False
6,27,0.23002225426264364,0.9806427093908974,0.23625730994152047,0.3045895768542079,0.26610678852249803,0.9213556224044799,0.2487536332695641,0.08321222256445925,0.004933747197970129,False
7,26,0.22031380233482475,0.9801660251155063,0.2274054554518909,0.30091414569786074,0.25904591919519715,0.921135303641968,0.2455232292247025,0.08179316221474622,-0.0047747047298487555,False
8,25,0.2270024711849904,0.9806101341556771,0.2328959009141846,0.29770992366412213,0.2613443640124095,0.9209387168238343,0.2476460610074477,0.08563878814280541,0.0019139641203168856,False
9,24,0.2186059770680973,0.9791149308590632,0.21490445017522977,0.3062859296955989,0.2525841299448201,0.9210020848111462,0.24406006292421023,0.08574111145723326,-0.006482529996576197,False
10,23,0.221877662880901,0.9795807567227142,0.22079869156330925,0.3053435114503817,0.2562784259442357,0.9206788176627789,0.24466454397002926,0.0853342610725711,-0.0032108441837725155,False
